,network_type,noise,threshold,trust_min,trust_max,truth_fraction,mean_persistent,std_persistent
67,ER,0.05,0.7,0.8,1.0,0.1,0.8644999999999999,0.025391927851189253
68,ER,0.05,0.7,0.8,1.0,0.2,0.5145,0.21418391629625225
69,ER,0.05,0.7,0.8,1.0,0.3,0.2165,0.24876243687502342
70,ER,0.05,0.7,0.8,1.0,0.4,0.0035000000000000005,0.015256146302392361
71,ER,0.05,0.7,0.8,1.0,0.5,0.0005,0.002179449471770337
72,ER,0.05,0.8,0.2,0.4,0.05,0.1385,0.026509432283623124
73,ER,0.05,0.8,0.2,0.4,0.1,0.1655,0.039303307748839666
74,ER,0.05,0.8,0.2,0.4,0.2,0.2085,0.032599846625406076
75,ER,0.05,0.8,0.2,0.4,0.3,0.25149999999999995,0.03409912022325503
76,ER,0.05,0.8,0.2,0.4,0.4,0.29650000000000004,0.0385064929589803
77,ER,0.05,0.8,0.2,0.4,0.5,0.31399999999999995,0.03706750598570128
78,ER,0.05,0.8,0.4,0.6,0.05,0.1345,0.040555517503787324
79,ER,0.05,0.8,0.4,0.6,0.1,0.16249999999999998,0.037533318531672626
80,ER,0.05,0.8,0.4,0.6,0.2,0.21400000000000002,0.03773592452822642
81,ER,0.05,0.8,0.4,0.6,0.3,0.28150000000000003,0.029878922336657326
82,ER,0.05,0.8,0.4,0.6,0.4,0.318,0.031080540535840098
83,ER,0.05,0.8,0.4,0.6,0.5,0.3175,0.026995369973386182
84,ER,0.05,0.8,0.6,0.8,0.05,0.336,0.15353826884526214
85,ER,0.05,0.8,0.6,0.8,0.1,0.42300000000000004,0.1630674706984811
86,ER,0.05,0.8,0.6,0.8,0.2,0.31500000000000006,0.13211737205984686
87,ER,0.05,0.8,0.6,0.8,0.3,0.22649999999999998,0.0951459405334773
88,ER,0.05,0.8,0.6,0.8,0.4,0.142,0.0812773031048644
89,ER,0.05,0.8,0.6,0.8,0.5,0.1065,0.05790293602227784
90,ER,0.05,0.8,0.8,1.0,0.05,0.9355,0.015960889699512336
91,ER,0.05,0.8,0.8,1.0,0.1,0.8535,0.031188940347501384
92,ER,0.05,0.8,0.8,1.0,0.2,0.6045,0.11997812300582135
93,ER,0.05,0.8,0.8,1.0,0.3,0.22149999999999997,0.1909260327980446
94,ER,0.05,0.8,0.8,1.0,0.4,0.015,0.03278719262151
95,ER,0.05,0.8,0.8,1.0,0.5,0.0,0.0
96,ER,0.05,0.9,0.2,0.4,0.05,0.085,0.027110883423451918
97,ER,0.05,0.9,0.2,0.4,0.1,0.1155,0.02765411361804967
98,ER,0.05,0.9,0.2,0.4,0.2,0.183,0.035651086939951775
99,ER,0.05,0.9,0.2,0.4,0.3,0.23200000000000004,0.029765752132274434
100,ER,0.05,0.9,0.2,0.4,0.4,0.278,0.030430248109405884
101,ER,0.05,0.9,0.2,0.4,0.5,0.30399999999999994,0.032310988842807024
102,ER,0.05,0.9,0.4,0.6,0.05,0.1,0.034641016151377546
103,ER,0.05,0.9,0.4,0.6,0.1,0.14350000000000002,0.03496784236981172
104,ER,0.05,0.9,0.4,0.6,0.2,0.205,0.0381444622455213
105,ER,0.05,0.9,0.4,0.6,0.3,0.2535,0.03811495769379786
106,ER,0.05,0.9,0.4,0.6,0.4,0.2834999999999999,0.036506848672543626
107,ER,0.05,0.9,0.4,0.6,0.5,0.3175,0.022107690969434147
108,ER,0.05,0.9,0.6,0.8,0.05,0.414,0.14001428498549712
109,ER,0.05,0.9,0.6,0.8,0.1,0.43150000000000005,0.17920030691938002
110,ER,0.05,0.9,0.6,0.8,0.2,0.2425,0.12376893794486564
111,ER,0.05,0.9,0.6,0.8,0.3,0.24050000000000002,0.13665558898193664
112,ER,0.05,0.9,0.6,0.8,0.4,0.192,0.11084223021935277
