network_type,noise,threshold,trust_min,trust_max,truth_fraction,baseline_50,baseline_100,degree_100,betweenness_100,baseline_50_std,baseline_100_std,degree_100_std,betweenness_100_std
ER,0.2,0.6,0.3,0.5,0.3,57,57,51,51,2,2,2,3
ER,0.2,0.6,0.3,0.5,0.5,47,47,42,42,1,1,2,2
ER,0.2,0.6,0.3,0.5,0.7,29,29,27,27,0,0,0,1
ER,0.2,0.6,0.5,0.7,0.1,90,90,80,80,0,0,0,0
ER,0.2,0.6,0.5,0.7,0.3,69,69,62,63,0,0,1,1
ER,0.2,0.6,0.5,0.7,0.5,49,49,44,44,0,0,1,1
ER,0.2,0.6,0.5,0.7,0.7,26,26,24,24,1,1,2,2
ER,0.2,0.6,0.7,0.9,0.1,89,89,81,81,0,0,1,1
ER,0.2,0.6,0.7,0.9,0.3,68,68,60,60,1,1,1,2
ER,0.2,0.6,0.7,0.9,0.5,37,37,33,33,4,4,3,4
ER,0.2,0.6,0.7,0.9,0.7,4,4,4,4,4,4,3,3
ER,0.2,0.7,0.1,0.3,0.1,26,26,55,55,3,3,4,5
ER,0.2,0.7,0.1,0.3,0.3,34,34,43,43,2,2,3,3
ER,0.2,0.7,0.1,0.3,0.5,35,35,36,36,2,2,2,2
ER,0.2,0.7,0.1,0.3,0.7,27,27,26,26,1,1,1,1
ER,0.2,0.7,0.3,0.5,0.1,53,53,47,47,2,2,2,2
ER,0.2,0.7,0.3,0.5,0.3,58,58,52,52,2,2,3,3
ER,0.2,0.7,0.3,0.5,0.5,48,48,43,43,1,1,2,1
ER,0.2,0.7,0.3,0.5,0.7,29,29,26,26,0,0,1,1
ER,0.2,0.7,0.5,0.7,0.1,90,90,80,80,0,0,0,0
ER,0.2,0.7,0.5,0.7,0.3,69,69,63,63,0,0,1,1
ER,0.2,0.7,0.5,0.7,0.5,49,49,44,44,0,0,1,2
ER,0.2,0.7,0.5,0.7,0.7,27,27,24,24,1,1,1,1
ER,0.2,0.7,0.7,0.9,0.1,89,89,80,80,0,0,0,0
ER,0.2,0.7,0.7,0.9,0.3,68,68,61,61,1,1,1,2
ER,0.2,0.7,0.7,0.9,0.5,38,38,35,35,3,3,2,2
ER,0.2,0.7,0.7,0.9,0.7,6,6,5,5,3,3,3,3
BA,0.05,0.5,0.1,0.3,0.1,27,27,25,25,3,3,4,4
BA,0.05,0.5,0.1,0.3,0.3,35,35,32,32,5,5,5,5
BA,0.05,0.5,0.1,0.3,0.5,37,37,34,34,3,3,3,3
BA,0.05,0.5,0.1,0.3,0.7,26,26,23,23,1,1,1,1
BA,0.05,0.5,0.3,0.5,0.1,56,56,51,51,5,5,4,4
BA,0.05,0.5,0.3,0.5,0.3,58,58,52,52,3,3,3,4
BA,0.05,0.5,0.3,0.5,0.5,47,47,42,42,1,1,2,2
BA,0.05,0.5,0.3,0.5,0.7,29,29,26,27,0,0,1,1
BA,0.05,0.5,0.5,0.7,0.1,89,89,79,79,0,0,1,1
BA,0.05,0.5,0.5,0.7,0.3,69,69,61,61,0,0,2,2
BA,0.05,0.5,0.5,0.7,0.5,48,48,43,43,1,1,1,1
BA,0.05,0.5,0.5,0.7,0.7,27,27,25,24,1,1,1,1
BA,0.05,0.5,0.7,0.9,0.1,89,89,78,79,0,0,1,1
BA,0.05,0.5,0.7,0.9,0.3,65,65,58,58,2,2,2,2
BA,0.05,0.5,0.7,0.9,0.5,38,38,34,34,4,4,3,3
BA,0.05,0.5,0.7,0.9,0.7,11,11,10,10,4,4,3,3
BA,0.05,0.6,0.1,0.3,0.1,28,28,27,27,4,4,4,4
BA,0.05,0.6,0.1,0.3,0.3,34,34,30,30,5,5,5,5
BA,0.05,0.6,0.1,0.3,0.5,34,34,30,29,3,3,3,3
BA,0.05,0.6,0.1,0.3,0.7,26,26,23,23,1,1,2,2
BA,0.05,0.6,0.3,0.5,0.1,61,61,56,55,4,4,3,3
BA,0.05,0.6,0.3,0.5,0.3,59,59,53,53,2,2,3,3
BA,0.05,0.6,0.3,0.5,0.5,47,47,42,42,1,1,3,3
BA,0.05,0.6,0.3,0.5,0.7,29,29,26,27,0,0,1,1
BA,0.05,0.6,0.5,0.7,0.1,90,90,79,80,0,0,1,2
BA,0.05,0.6,0.5,0.7,0.3,70,70,62,63,0,0,2,1
BA,0.05,0.6,0.5,0.7,0.5,49,49,43,43,0,0,1,1
BA,0.05,0.6,0.5,0.7,0.7,28,28,25,25,1,1,1,1
BA,0.05,0.6,0.7,0.9,0.1,89,89,77,78,0,0,1,1
BA,0.05,0.6,0.7,0.9,0.3,65,65,58,58,3,3,2,2
BA,0.05,0.6,0.7,0.9,0.5,37,37,34,34,5,5,4,4
BA,0.05,0.6,0.7,0.9,0.7,10,10,9,9,5,5,5,5
BA,0.05,0.7,0.1,0.3,0.1,30,30,30,30,6,6,6,6
BA,0.05,0.7,0.1,0.3,0.3,37,37,34,34,5,5,5,5
BA,0.05,0.7,0.1,0.3,0.5,36,36,32,32,2,2,2,2
BA,0.05,0.7,0.1,0.3,0.7,27,27,24,24,1,1,3,3
BA,0.05,0.7,0.3,0.5,0.1,58,58,53,53,5,5,4,5
BA,0.05,0.7,0.3,0.5,0.3,59,59,53,53,3,3,3,3
BA,0.05,0.7,0.3,0.5,0.5,47,47,42,42,1,1,2,2
BA,0.05,0.7,0.3,0.5,0.7,29,29,26,26,0,0,1,1
BA,0.05,0.7,0.5,0.7,0.1,90,90,79,79,0,0,1,1
BA,0.05,0.7,0.5,0.7,0.3,69,69,61,61,0,0,2,2
BA,0.05,0.7,0.5,0.7,0.5,49,49,44,44,0,0,1,2
BA,0.05,0.7,0.5,0.7,0.7,28,28,25,25,1,1,1,1
BA,0.05,0.7,0.7,0.9,0.1,89,89,78,78,0,0,1,1
BA,0.05,0.7,0.7,0.9,0.3,65,65,58,58,3,3,2,2
BA,0.05,0.7,0.7,0.9,0.5,36,36,33,32,5,5,4,4
BA,0.05,0.7,0.7,0.9,0.7,14,14,13,13,2,2,2,2
BA,0.2,0.5,0.1,0.3,0.1,27,27,26,26,4,4,4,4
BA,0.2,0.5,0.1,0.3,0.3,36,36,33,33,4,4,4,4
BA,0.2,0.5,0.1,0.3,0.5,36,36,33,32,1,1,2,2
BA,0.2,0.5,0.1,0.3,0.7,26,26,23,23,1,1,2,2
BA,0.2,0.5,0.3,0.5,0.1,54,54,49,49,5,5,6,6
BA,0.2,0.5,0.3,0.5,0.3,56,56,51,50,3,3,4,4
BA,0.2,0.5,0.3,0.5,0.5,46,46,41,41,2,2,2,3
BA,0.2,0.5,0.3,0.5,0.7,29,29,27,27,0,0,1,0
BA,0.2,0.5,0.5,0.7,0.1,90,90,78,78,0,0,2,1
BA,0.2,0.5,0.5,0.7,0.3,69,69,62,62,0,0,1,1
BA,0.2,0.5,0.5,0.7,0.5,48,48,43,43,1,1,1,2
BA,0.2,0.5,0.5,0.7,0.7,26,26,24,24,1,1,2,2
BA,0.2,0.5,0.7,0.9,0.1,89,89,79,79,0,0,1,1
BA,0.2,0.5,0.7,0.9,0.3,65,65,58,58,2,2,2,2
BA,0.2,0.5,0.7,0.9,0.5,37,37,32,32,5,5,4,3
BA,0.2,0.5,0.7,0.9,0.7,9,9,8,8,3,3,2,2
BA,0.2,0.6,0.1,0.3,0.1,27,27,25,25,3,3,3,3
BA,0.2,0.6,0.1,0.3,0.3,38,38,34,34,6,6,7,7
BA,0.2,0.6,0.1,0.3,0.5,34,34,29,29,3,3,3,3
BA,0.2,0.6,0.1,0.3,0.7,26,26,23,23,2,2,2,2
BA,0.2,0.6,0.3,0.5,0.1,59,59,52,53,4,4,5,5
BA,0.2,0.6,0.3,0.5,0.3,59,59,53,53,3,3,3,3
BA,0.2,0.6,0.3,0.5,0.5,46,46,42,42,1,1,2,2
BA,0.2,0.6,0.3,0.5,0.7,29,29,25,25,1,1,1,1
BA,0.2,0.6,0.5,0.7,0.1,90,90,78,78,0,0,1,1
